"","cu70","Ac62","Ac50","Ac41","Ac7","Ac31","cu12","cu80","cu76","cu19","Ap20","Ap14","Ap24","Ap5","Ap19","Ap22"
"Quant.25.0","0.202162978296531","0.186538566492126","0.21421081808542","0.18054924585555","0.186327743826796","0.186837791446207","0.181505554221687","0.194519642042188","0.167832353087454","0.181127795217223","0.200844930103648","0.193592795536794","0.158059552798519","0.168213625233607","0.214980293148821","0.162677848635458"
"Sigma.25.0","6.51988839512953","5.27378072802767","5.26791210463968","5.47757122105734","5.77361225259084","6.11497167621144","5.60318754607791","4.72966194121665","6.02882239973477","5.45106050802917","5.36913847960106","4.83977408645715","5.97066866426527","5.58222407798075","5.08690572041604","5.46923531339674"
"Connect.25.0","0.105754853405968","0.110757969480829","0.19250239073274","0.241270849566567","0.117324057924072","0.142100953620338","0.129421935861513","0.158359367791561","0.0901995310468635","0.129564240409099","0.0805973805351275","0.00452359212729571","0.177421340455805","0.0902721277503778","0.135164395473326","0.160338894057638"
"Tau1.25.0","1186.7714696932","1419.20052370333","1245.13884898581","1288.6993004946","1490.10646621951","1343.77042480743","1191.39869789586","1153.87706290817","1605.83499136428","1389.04654081507","892.862059575983","1921.65650990765","2246.54670452836","1650.74405145127","965.490443585462","1751.70690580244"
"Tau2.25.0","1443354.03249304","1319653.0733167","1235350.93645066","1486161.30226573","1594215.05803779","1766620.47734074","1490036.64138534","1835013.69944379","1810493.69509857","1518894.10686391","1800414.5665314","1569702.66163757","1684052.84547135","2104645.70278756","1520181.27171093","2266749.33130289"
"NPQ.25.0","0.641158891703362","0.40787674683036","0.700357579002633","0.644525974271901","0.583707211501163","0.465481203856116","0.647251605094776","0.545307362561689","0.47247802140132","0.50280778719085","0.396538808748032","0.376139565141415","0.338997925830018","0.366506788680347","0.30136140750797","0.442613422089357"
"qP.25.0","0.828905670956397","0.808428907024278","0.854635127163957","0.622823677603968","0.837938091284667","0.839328757634557","0.861019357453381","0.821854308181921","0.872196241427267","0.8517962064355","0.775833599652734","0.758656565962144","0.687756486119316","0.708533943065762","0.772154418834822","0.738734010197224"
"ABQ.25.0","0.286963257165711","0.314196038850428","0.298868614888919","0.25252403934424","0.245065110823529","0.203770575482388","0.139873649185444","0.173823876593593","0.113639457237925","0.272309909863944","0.218784392577519","0.20521710336583","0.180369134983166","0.211096629956648","0.301418540862569","0.206109088563832"
"Quant.26.0","0.204802785626234","0.193097554249165","0.215639176325103","0.183132942413712","0.193998968904418","0.18557162286632","0.194721453656157","0.187752121954468","0.165384561806274","0.187983559360717","0.204832331662798","0.193501284899234","0.153540644345181","0.170329640562024","0.217751223316095","0.158360674706338"
"Sigma.26.0","6.59970542960835","5.22021500080512","5.28594876897817","5.29444864929897","5.69062826221743","5.91139148741646","5.60271571277944","4.52829629823661","6.0990555261134","5.38754472113303","5.48479142122554","4.92920862215965","6.07484277651817","5.49707138056155","4.97248304270932","5.65288412958411"
"Connect.26.0","0.11570810669239","0.0818918833228535","0.173043432457672","0.111673921022272","0.0202771541805943","0.0938844383113735","0.110751061553342","0.125007895145821","0.093394141910626","0.183860943013653","0.122146691589858","0.0510793721729281","0.253372422769499","0.0309926789956833","0.137986587571734","0.246782780859992"
